Barbosa,IGARASSU,008,gabrielogabriel10@gmail.com,132.344.87.9
Barbosa,IGARASSU,1,gabrielogabriel10@gmail.com,13435829460Gato,IGARASSU,081992765185,gabrielogabriel10@gmail.com,13233365780
Miguel Gabriel Barbosa dos Santos,IGARASSU,222,gabrielogabriel10@gmail.com,13233365780
Gato,IGARASSU,088,gabrielogabriel10@gmail.com,132.344.87.9
 Santos,IGARASSU,222,gabrielogabriel10@gmail.com,13435829460
gato,aracoiaba,081996858,gato@gmail.com,666
bolsonaro,hell of jan,17,taokay@gmail.com,132.344.87.9
luzia angelica,igarassu,081992765185,luzia@angelica.com,132.344.87.9
luzia angelica,igarassu,081992765185,luzia@angelica.com,10
rute valenia,igarassu,0819956335,rute@gmail.com,10
joão gabriel,igarassu,081994050928,joao@gmail.com,10
