Miguel,gabrielogabriel10@gmail.com,20,Brasil
miguel,mgbs@discente.ifpe.edu.br,20,brasil
patrick,meuamor@gmail.com,19,brasil
miguel,mgbs@discente.ifpe.edu.br,20,brasil
miguel,mgbs@discente.ifpe.edu.br,20,brasil
miguel,mgbs@discente.ifpe.edu.br,20,brasil
miguel,mgbs@discente.ifpe.edu.br,20,brasil
miguel,mgbs@discente.ifpe.edu.br,20,brasil
miguel,mgbs@discente.ifpe.edu.br,20,brasil
miguel,mgbs@discente.ifpe.edu.br,20,brasil
miguel,mgbs@discente.ifpe.edu.br,20,brasil
bolsonaro,gabrielogabriel10@gmail.com,,portugal
